交易币对,买入时间,买入价格,买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
LTC_USDT,2019-05-15 16:00:00+00:00,101.2,11.298400562601174,2019-05-18 00:00:00+00:00,88.15,11.298400562601174,1143.3981369352389,2.1393521465285326,-149.58,12061.36,-1.24%,-13.08%
BNB_USDT,2019-05-18 15:00:00+00:00,27.3994,44.02052565740152,2019-05-21 00:00:00+00:00,28.775,44.02052565740152,1206.1359906974071,2.4728266164891357,58.08,12119.44,0.48%,4.82%
BTT_USDT,2019-05-20 18:00:00+00:00,0.001127,1070111.2485344608,2019-05-23 00:00:00+00:00,0.0010452,1070111.2485344608,1206.0153770983372,2.324495654066556,-89.86,12029.58,-0.75%,-7.45%
BNB_USDT,2019-05-21 12:00:00+00:00,29.7799,40.69266753775131,2019-05-24 00:00:00+00:00,31.6107,40.69266753775131,1211.8235700074804,2.498147275743076,72.00,12101.58,0.59%,5.94%
BNB_USDT,2019-05-24 07:00:00+00:00,33.5803,36.037748644652034,2019-05-27 00:00:00+00:00,34.2365,36.037748644652034,1210.1584108120087,2.443964792284638,21.20,12122.79,0.17%,1.75%
BTT_USDT,2019-05-26 08:00:00+00:00,0.00138,876838.6920079186,2019-05-29 00:00:00+00:00,0.001718,876838.6920079186,1210.0373949709276,2.7164462678405314,293.66,12416.44,2.37%,24.27%
LTC_USDT,2019-05-26 20:00:00+00:00,107.18,11.288639589768897,2019-05-29 00:00:00+00:00,113.38,11.288639589768897,1209.9163912314305,2.4898223479194277,67.50,12483.94,0.54%,5.58%
EOS_USDT,2019-05-27 00:00:00+00:00,6.9089,175.43122870793067,2019-05-30 00:00:00+00:00,8.127,175.43122870793067,1212.0368160202222,2.637766411729575,211.06,12695.00,1.66%,17.41%
BCHABC_USDT,2019-05-27 16:00:00+00:00,425.67,2.8470778122456832,2019-05-30 00:00:00+00:00,472.67,2.8470778122456832,1211.9156123386201,2.557643881852787,131.26,12826.25,1.02%,10.83%
BCHABC_USDT,2019-05-30 01:00:00+00:00,467.38,2.744287927446404,2019-06-02 00:00:00+00:00,434.68,2.744287927446404,1282.6252915299003,2.4755123678323026,-92.21,12734.04,-0.72%,-7.19%
ETH_USDT,2019-05-30 03:00:00+00:00,281.99,4.548023082381457,2019-06-02 00:00:00+00:00,266.83,4.548023082381457,1282.497029000747,2.496046028072591,-71.44,12662.60,-0.56%,-5.57%
EOS_USDT,2019-05-30 15:00:00+00:00,8.3307,153.9328963109759,2019-06-02 00:00:00+00:00,7.7754,153.9328963109759,1282.368779297847,2.4792586212742087,-87.96,12574.64,-0.70%,-6.86%
TRX_USDT,2019-06-01 16:00:00+00:00,0.03848,33322.25941839702,2019-06-04 00:00:00+00:00,0.03315,33322.25941839702,1282.2405424199173,2.3868734421397786,-179.99,12394.64,-1.45%,-14.04%
LTC_USDT,2019-06-10 11:00:00+00:00,124.4,9.9635389064805,2019-06-13 00:00:00+00:00,135.6,9.9635389064805,1239.464239966174,2.59052011568493,109.00,12503.64,0.87%,8.79%
BNB_USDT,2019-06-13 04:00:00+00:00,35.3469,35.37408801139178,2019-06-16 00:00:00+00:00,32.8191,35.37408801139178,1250.3643515298638,2.411310083384532,-91.83,12411.81,-0.74%,-7.34%
LINK_USDT,2019-06-17 12:00:00+00:00,1.95,636.503260796926,2019-06-20 00:00:00+00:00,1.823,636.503260796926,1241.1813585540058,2.401526802986802,-83.24,12328.58,-0.68%,-6.71%
BNB_USDT,2019-06-20 11:00:00+00:00,36.2478,34.01192939879348,2019-06-23 00:00:00+00:00,37.9008,34.01192939879348,1232.857614461586,2.521936948219378,53.70,12382.28,0.43%,4.36%
ETH_USDT,2019-06-21 09:00:00+00:00,288.86,4.2675840500593365,2019-06-24 00:00:00+00:00,304.7,4.2675840500593365,1232.73432870014,2.5330671887532197,65.07,12447.34,0.52%,5.28%
LTC_USDT,2019-06-22 02:00:00+00:00,142.61,8.643230175073766,2019-06-25 00:00:00+00:00,136.73,8.643230175073766,1232.6110552672699,2.414399917105106,-53.24,12394.10,-0.43%,-4.32%
XRP_USDT,2019-06-22 13:00:00+00:00,0.47311,2605.076608318876,2019-06-25 00:00:00+00:00,0.4723,2605.076608318876,1232.4877941617433,2.4628654762707485,-4.57,12389.53,-0.04%,-0.37%
BCHABC_USDT,2019-06-22 17:00:00+00:00,519.08,2.3741322057916445,2019-06-25 00:00:00+00:00,476.19,2.3741322057916445,1232.364545382327,2.36290256045825,-104.19,12285.34,-0.85%,-8.45%
ETH_USDT,2019-06-26 03:00:00+00:00,332.03,3.700069989876103,2019-06-29 00:00:00+00:00,308.36,3.700069989876103,1228.5342387385624,2.3694878208167576,-89.95,12195.39,-0.74%,-7.32%
LINK_USDT,2019-06-28 16:00:00+00:00,2.5107,489.2704764865132,2019-07-01 00:00:00+00:00,3.6116,489.2704764865132,1228.4113853146887,2.99546063819338,535.64,12731.03,4.21%,43.60%
LTC_USDT,2019-10-26 00:00:00+00:00,58.55,21.739519334262397,2019-10-29 00:00:00+00:00,58.16,21.739519334262397,1272.8488570210632,2.5372193015017643,-11.02,12720.02,-0.09%,-0.87%
BNB_USDT,2019-10-26 00:00:00+00:00,18.8652,67.4774799438398,2019-10-29 00:00:00+00:00,20.1405,67.4774799438398,1272.9761546365266,2.6320063394454323,83.42,12803.44,0.65%,6.55%
BCHABC_USDT,2019-10-26 00:00:00+00:00,267.06,4.76710651158176,2019-10-29 00:00:00+00:00,266.18,4.76710651158176,1273.1034649830249,2.5420118762358577,-6.74,12796.70,-0.05%,-0.53%
TRX_USDT,2019-10-26 00:00:00+00:00,0.01782,71420.96364395965,2019-10-29 00:00:00+00:00,0.02071,71420.96364395965,1272.721572135361,2.751849729201765,203.65,13000.36,1.57%,16.00%
EOS_USDT,2019-10-26 01:00:00+00:00,3.4684,366.8743629766318,2019-10-29 00:00:00+00:00,3.3078,366.8743629766318,1272.4670405481497,2.4860140584022523,-61.41,12938.95,-0.47%,-4.83%
XRP_USDT,2019-10-26 01:00:00+00:00,0.30808,4130.726759212372,2019-10-29 00:00:00+00:00,0.29631,4130.726759212372,1272.5942999781475,2.4965699460003656,-51.12,12887.84,-0.40%,-4.02%
